"";"jaar";"waarde";"fit";"lwr";"upr";"spreiding";"type"
"1";1987;13,4529147982063;7,61826786872111;3,6301450445063;11,6063906929359;TRUE;"Trend"
"2";1988;9,51417004048583;9,90970386238831;6,59828492699121;13,2211227977854;TRUE;"Trend"
"3";1989;10,3134479271992;12,1677065655958;9,428011273582;14,9074018576096;TRUE;"Trend"
"4";1990;8,03059273422562;14,3448011414067;12,0117387544893;16,6778635283242;TRUE;"Trend"
"5";1991;13,1979695431472;16,3843407118804;14,252065698056;18,5166157257047;TRUE;"Trend"
"6";1992;17,2619047619048;18,228854879615;16,11649735364;20,34121240559;TRUE;"Trend"
"7";1993;16,9306930693069;19,826789266373;17,6389134244399;22,0146651083062;TRUE;"Trend"
"8";1994;22,2222222222222;21,1376102823209;18,8656985528023;23,4095220118395;TRUE;"Trend"
"9";1995;33,2175925925926;22,1352811127208;19,8230734100916;24,44748881535;TRUE;"Trend"
"10";1996;26,349765258216;22,8101593916579;20,5177215751182;25,1025972081976;TRUE;"Trend"
"11";1997;19,212962962963;23,169418393135;20,9459015088717;25,3929352773984;TRUE;"Trend"
"12";1998;22,1064814814815;23,2361462215085;21,101569554417;25,3707228886001;TRUE;"Trend"
"13";1999;21,9328703703704;23,0473263027089;20,9851305015485;25,1095221038693;TRUE;"Trend"
"14";2000;25,1736111111111;22,650943026592;20,6153903641387;24,6864956890453;TRUE;"Trend"
"15";2001;22,1643518518519;22,1024851142462;20,0405955382575;24,1643746902349;TRUE;"Trend"
"16";2002;21,7592592592593;21,461133669079;19,3376416523167;23,5846256858413;TRUE;"Trend"
"17";2003;19,9652777777778;20,7859205482628;18,5966221511397;22,9752189453859;TRUE;"Trend"
"18";2004;20,775462962963;20,1321254740193;17,9016812963181;22,3625696517204;TRUE;"Trend"
"19";2005;21,412037037037;19,5481481521684;17,3177039744673;21,7785923298696;TRUE;"Trend"
"20";2006;19,0998268897865;19,0730465822969;16,8837481851738;21,26234497942;TRUE;"Trend"
"21";2007;17,2632794457275;18,7348776102406;16,6113855934783;20,8583696270029;TRUE;"Trend"
"22";2008;14,2692085499711;18,5499141251336;16,4880245491449;20,6118037011223;TRUE;"Trend"
"23";2009;15,1445086705202;18,522749070673;16,4871964082197;20,5583017331263;TRUE;"Trend"
"24";2010;16,0992498557415;18,6472336660443;16,5850378648838;20,7094294672047;TRUE;"Trend"
"25";2011;20,0807847663012;18,9081397838098;16,7735631167182;21,0427164509014;TRUE;"Trend"
"26";2012;25,0281214848144;19,2833877306704;17,059870846407;21,5069046149338;TRUE;"Trend"
"27";2013;20,7897793263647;19,7466434562594;17,4542056397196;22,0390812727991;TRUE;"Trend"
"28";2014;21,0716435881999;20,2700653295594;17,9578576269302;22,5822730321886;TRUE;"Trend"
"29";2015;21,4773432650528;20,8269709136295;18,5550591841109;23,0988826431481;TRUE;"Trend"
"30";2016;20,303605313093;21,3941983977948;19,2063225558616;23,5820742397279;TRUE;"Trend"
"31";2017;21,1313394018205;21,9539541926724;19,8415966666974;24,0663117186474;TRUE;"Trend"
"32";2018;22,8224172856178;22,4949653229918;20,3626903091675;24,6272403368162;TRUE;"Trend"
"33";2019;22,7272727272727;23,0127894394404;20,679727052523;25,3458518263579;TRUE;"Trend"
"34";2020;25,2374491180461;23,5091725609966;20,7694772689828;26,2488678530104;TRUE;"Trend"
"35";2021;19,959266802444;23,9903805674645;20,6789616320674;27,3017995028616;TRUE;"Trend"
"36";2022;26,5814266487214;24,4644601677389;20,4763373435241;28,4525829919537;TRUE;"Trend"
"37";2023;NA;24,9374035992403;20,213905285827;29,6609019126535;TRUE;"Trend"
"38";2024;NA;25,4103470307417;19,9171745325394;30,9035195289439;TRUE;"Trend"
"39";2025;NA;25,8832904622431;19,5987342332332;32,1678466912529;TRUE;"Trend"
"40";2026;NA;26,3562338937445;19,2658499112962;33,4466178761928;TRUE;"Trend"
