"Page";"Grid";"ID";"LambertX";"LambertY";"Longitude";"Latitude"
"1";"16x16";"11";"39296,4504";"166269,36570";"2,79839920924474";"50,7963597195326"
"1";"16x16";"12";"38120,4525";"182177,12170";"2,77688757021247";"50,9391044396140"
"1";"16x16";"13";"36941,3999";"198085,07120";"2,75520099392593";"51,0818401124178"
"1";"16x16";"19";"55206,0780";"167443,77830";"3,02372549554668";"50,8097214829342"
"1";"16x16";"20";"54030,1525";"183354,65980";"3,00289380179540";"50,9525344689300"
"1";"16x16";"21";"52851,2433";"199265,64950";"2,98189225207412";"51,0953378947654"
"1";"16x16";"22";"51669,2402";"215176,74000";"2,96071771243285";"51,2381307281206"
"1";"16x16";"27";"71118,7660";"168618,08500";"3,24922117939858";"50,8226491752202"
"1";"16x16";"28";"69942,9308";"184531,95990";"3,22907126930958";"50,9655279612686"
"1";"16x16";"29";"68764,0769";"200445,95130";"3,20875506524185";"51,1083974920299"
"1";"16x16";"30";"67582,2881";"216360,16340";"3,18827221632653";"51,2512577700336"
"1";"16x16";"35";"87034,3953";"169792,57050";"3,47488049303188";"50,8351447380942"
"1";"16x16";"36";"85858,5680";"185709,30060";"3,45541271933714";"50,9780867864046"
"1";"16x16";"37";"84679,8934";"201626,06730";"3,43578518994308";"51,1210191116079"
"1";"16x16";"43";"102952,7842";"170966,91490";"3,70069688597113";"50,8472046980131"
"1";"16x16";"44";"101776,9820";"186886,36790";"3,68191295809248";"50,9902075346146"
"1";"16x16";"45";"100598,5918";"202805,98300";"3,66297705541021";"51,1332020198087"
"1";"16x16";"46";"99417,3916";"218725,94650";"3,64388457192313";"51,2761888683801"
"1";"16x16";"50";"120046,8845";"156219,12560";"3,94461509439848";"50,7157591361955"
"1";"16x16";"51";"118873,8256";"172141,20400";"3,92666475745294";"50,8588292633141"
"1";"16x16";"52";"117698,2596";"188063,35930";"3,90856907932101";"51,0018914236107"
"1";"16x16";"53";"116519,9709";"203985,67780";"3,89032363725038";"51,1449454450196"
"1";"16x16";"58";"135970,5906";"157390,80690";"4,17004838184468";"50,7268913071597"
"1";"16x16";"59";"134797,6129";"173315,53590";"4,15278135097265";"50,8700187813896"
"1";"16x16";"60";"133621,9995";"189240,24260";"4,13537125012585";"51,0131375947622"
"1";"16x16";"61";"132444,0294";"205165,14370";"4,11782074350047";"51,1562487687680"
"1";"16x16";"67";"150723,7575";"174489,67900";"4,37903706221426";"50,8807706377530"
"1";"16x16";"68";"149548,4135";"190416,82260";"4,36231834846172";"51,0239437803439"
"1";"16x16";"69";"148370,5722";"206344,26090";"4,34546139364822";"51,1671103790325"
"1";"16x16";"70";"147190,3250";"222271,99950";"4,32846623160598";"51,3102695485437"
"1";"16x16";"74";"167825,3066";"159734,31140";"4,62132767074273";"50,7478524286869"
"1";"16x16";"75";"166652,4462";"175663,83800";"4,60543042378127";"50,8910861776272"
"1";"16x16";"76";"165477,1813";"191593,37310";"4,58940163925198";"51,0343119311751"
"1";"16x16";"77";"164299,5915";"207523,12160";"4,57324125400498";"51,1775305980736"
"1";"16x16";"78";"163119,6621";"223453,18310";"4,55694784511359";"51,3207421401493"
"1";"16x16";"83";"182583,3903";"176837,78790";"4,83195319323955";"50,9009629013856"
