"Mtype";"N_plots";"N_years";"N_trees";"trend";"sd_bp";"sd_wp";"cor_is";"sd_trend";"modelnr";"modelsimnr";"power";"lcl";"ucl"
"Fix";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,0065";"4";"1";"0,83";"0,738913045455715";"0,895066554651222"
"Var_tree";"80";"12";"5";"0,0025";"0,07";"0,175";"0,2";"0,0065";"13";"2";"0,61";"0,50701143647699";"0,704432642203444"
"Var_tree";"80";"12";"10";"0,0025";"0,07";"0,175";"0,2";"0,0065";"14";"3";"0,86";"0,772883712000974";"0,918596081672952"
"Var_tree";"80";"12";"15";"0,0025";"0,07";"0,175";"0,2";"0,0065";"15";"4";"0,86";"0,772883712000974";"0,918596081672952"
"Var_tree";"80";"12";"25";"0,0025";"0,07";"0,175";"0,2";"0,0065";"16";"5";"0,82";"0,727759443386768";"0,887041180709744"
"Var_trend";"80";"12";"20";"0,005";"0,07";"0,175";"0,2";"0,0065";"17";"6";"1";"0,953898659387813";"1"
"Var_bp";"80";"12";"20";"0,0025";"0,05";"0,175";"0,2";"0,0065";"18";"7";"0,9";"0,819642303727211";"0,948369902440753"
"Var_bp";"80";"12";"20";"0,0025";"0,09";"0,175";"0,2";"0,0065";"19";"8";"0,89";"0,807766535620428";"0,941132832689271"
"Var_cor";"80";"12";"20";"0,0025";"0,07";"0,175";"0";"0,0065";"20";"9";"0,91";"0,831665364011588";"0,955440730893819"
"Var_cor";"80";"12";"20";"0,0025";"0,07";"0,175";"0,4";"0,0065";"21";"10";"0,85";"0,761469232048093";"0,910850904272066"
"Var_sdt";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,004";"22";"11";"1";"0,953898659387813";"1"
"Var_sdt";"80";"12";"20";"0,0025";"0,07";"0,175";"0,2";"0,009";"23";"12";"0,64";"0,53727449522216";"0,731827912920184"
