"jaar";"plot";"tree";"soort";"nnv"
"1995";"101";"1";"es";"0,15"
"1995";"101";"2";"es";"0,40"
"1995";"101";"3";"tamme kastanje";"0,10"
"1995";"101";"4";"tamme kastanje";"0,10"
"1995";"101";"5";"tamme kastanje";"0,15"
"1995";"101";"6";"populier";"0,30"
"1995";"101";"7";"tamme kastanje";"0,25"
"1995";"101";"8";"tamme kastanje";"0,35"
"1995";"101";"9";"zomereik";"0,30"
"1995";"101";"10";"tamme kastanje";"0,25"
"1995";"101";"11";"wintereik";"0,30"
"1995";"101";"12";"zomereik";"0,50"
"1995";"101";"13";"es";"0,20"
"1995";"101";"14";"tamme kastanje";"0,25"
"1995";"101";"15";"zomereik";"0,25"
"1995";"101";"16";"zomereik";"0,30"
"1995";"101";"17";"tamme kastanje";"0,25"
"1995";"101";"19";"zomereik";"0,30"
"1995";"101";"20";"populier";"0,30"
"1995";"101";"22";"populier";"0,35"
"1995";"101";"23";"populier";"0,40"
"1995";"101";"24";"zomereik";"0,35"
"1995";"101";"25";"esdoorn";"0,15"
"1995";"101";"26";"tamme kastanje";"0,20"
"1995";"102";"1";"grove den";"0,15"
"1995";"102";"2";"grove den";"0,30"
"1995";"102";"7";"grove den";"0,30"
"1995";"102";"8";"grove den";"0,20"
"1995";"102";"9";"grove den";"0,20"
"1995";"102";"10";"grove den";"0,25"
"1995";"102";"11";"grove den";"0,20"
"1995";"102";"13";"grove den";"0,20"
"1995";"102";"14";"grove den";"0,15"
"1995";"102";"15";"grove den";"0,20"
"1995";"102";"16";"grove den";"0,30"
"1995";"102";"18";"grove den";"0,35"
"1995";"102";"25";"grove den";"0,15"
"1995";"102";"26";"grove den";"0,30"
"1995";"102";"27";"grove den";"0,20"
"1995";"102";"28";"grove den";"0,25"
"1995";"102";"29";"grove den";"0,30"
"1995";"102";"30";"grove den";"0,20"
"1995";"102";"31";"grove den";"0,20"
"1995";"102";"32";"grove den";"0,20"
"1995";"102";"33";"grove den";"0,20"
"1995";"102";"34";"grove den";"0,15"
"1995";"102";"35";"grove den";"0,25"
"1995";"102";"36";"grove den";"0,30"
"1995";"103";"2";"grove den";"0,25"
"1995";"103";"3";"grove den";"0,30"
"1995";"103";"4";"grove den";"0,15"
"1995";"103";"5";"grove den";"0,20"
"1995";"103";"6";"grove den";"0,20"
"1995";"103";"7";"grove den";"0,10"
"1995";"103";"8";"grove den";"0,15"
"1995";"103";"9";"grove den";"0,20"
"1995";"103";"10";"grove den";"0,15"
"1995";"103";"11";"grove den";"0,20"
"1995";"103";"12";"grove den";"0,10"
"1995";"103";"13";"grove den";"0,20"
"1995";"103";"14";"grove den";"0,25"
"1995";"103";"15";"grove den";"0,35"
"1995";"103";"16";"grove den";"0,35"
"1995";"103";"17";"grove den";"0,25"
"1995";"103";"18";"grove den";"0,25"
"1995";"103";"19";"grove den";"0,25"
"1995";"103";"20";"grove den";"0,15"
"1995";"103";"21";"grove den";"0,25"
"1995";"103";"22";"grove den";"0,20"
"1995";"103";"23";"grove den";"0,20"
"1995";"103";"24";"grove den";"0,25"
"1995";"103";"25";"grove den";"0,10"
"1995";"104";"1";"populier";"0,15"
"1995";"104";"2";"zwarte els";"0,15"
"1995";"104";"3";"zwarte els";"0,10"
"1995";"104";"4";"zwarte els";"0,15"
"1995";"104";"5";"zwarte els";"0,10"
"1995";"104";"6";"populier";"0,15"
"1995";"104";"7";"populier";"0,15"
"1995";"104";"8";"populier";"0,20"
"1995";"104";"9";"populier";"0,20"
"1995";"104";"10";"populier";"0,25"
"1995";"104";"11";"populier";"0,20"
