PROEFVLAK;LONGITUDE (X);LATITUDE (Y);NAAM
101;45655,59481;165865,7145;Wijtschate
102;59905,91196;205933,5764;Zerkegem
103;76662,55558;198930,0875;Hertsberge
104;68930,96049;190677,4129;Zwevezele
111;38749,66814;174151,4285;Ieper
112;57532,01353;195749,3505;Torhout
18;51079;185514;Houthulst
201;83992,6503;214281,0402;Maldegem
202;93099,4637;215240,3511;Sint-Laureins
203;100876,545;207732,32;Oosteeklo
205;110375,1816;185126,3439;Gontrode
206;117443,2536;208564,6786;Moerbeke
207;118719;185584;Serskamp
211;86565,695;173746,7074;Wortegem-Petegem
212;91475,6023;162252,4733;Kluisbergen
213;88506,22385;205872,3671;Maldegem
214;95371,54141;166414,2817;Maarkedal
215;99669,58474;162879,7302;Ronse
147067;116942,1989;203679,8669;Wachtebeke
305086;103942,1;162679,8;Brakel
308023;128942,2;166679,8;Ninove
17;138494;187326;Buggenhout
302;145387,102;155894,878;Halle
303;161317,1607;165978,3336;Tervuren
311;145867,2615;186251,469;Meise
312;155467,4231;162788,4749;Hoeilaart
402;160165,9538;180462,3888;Perk
403;193127,1496;190341,9534;Averbode
406;201042;190070;Deurne
411;166721,9055;178699,293;Herent
412;171072,8309;172193,3603;Leuven
413;182448,9931;176853,7971;Lubbeek
414;182308,1743;184815,2052;Aarschot
415;186079,4872;180870,8369;Tielt-Winge
416;198669,5635;174079,9592;Zoutleeuw
324071;192950,6;173677,1;Zuurbemde
326034;171964,4;165698,6;Oud-Heverlee
501;157508,6576;226699,614;Kapellen
502;157990,8171;218937,1742;Brasschaat
504;165746,7468;227115,9765;Brecht
505;166254;219567;Schilde
506;175064,617;220190,2848;Oostmalle
507;166718,4967;211473,1133;Oelegem
508;174950,1441;212174,9677;Pulle
511;151127,0051;226761,9248;Putte
512;162959,7516;215280,3368;Schilde
513;162264,4341;231378,957;Wuustwezel
514;171950,8206;212073,0956;Zandhoven
515;172367,3581;215997,6532;Zoersel
516;181668,4857;208751,7127;Herentals
85069;166947,6;223707,9;Brecht
601;182536,2758;228431,3593;Merksplas
602;182605,9397;220196,7419;Beerse
603;198745,4095;228858,494;Arendonk
604;207812,9912;213728,7707;Mol-Rauw
611;182683,1013;225450,6225;Beerse
612;189180,6021;197665,9237;Herselt
613;198804,0086;234038,7188;Ravels
95001;194942,2469;227679,9369;Ravels
701;225761,768;191588,2279;Houthalen
702;242312,0127;207611,7775;Kinrooi
703;234083,1086;191857,2182;Opglabbeek
711;221519,4551;191758,2747;Houthalen-Helchteren
712;229520,7018;192186,5014;Meeuwen-Gruitrode
713;231823,0979;211204,8594;Bocholt
714;239988,6167;208918,5239;Bocholt
802;234630,2885;184423,9336;Zutendaal
803;234970,4608;176794,8802;Gellik
804;242350,6461;191285,5411;Dilsen
805;240353,7838;191369,5997;Dilsen
811;222114,2486;183968,9528;Genk
812;238349,4053;180775,0503;Lanaken
901;216460,0459;206930,9595;Eksel
902;216630,3325;198859,0265;Leopoldsburg
903;218240,8263;207659,5281;Eksel
904;215860,4899;207563,7699;Lommel
906;218885,0747;207180,8765;Eksel
910;217319,8237;208471,2052;Overpelt
